team_id,season,week,team_id_opp,matchup_type,result,score_team,score_opp
1073671,2016,5,1073361,Division Game,W,96.08,87.38
1073671,2016,6,1089754,Division Game,L,64.2,82
1073671,2016,7,1073358,Non-Division Game,W,112.58,80.18
1073671,2016,8,1073395,Division Game,L,72.2,97.84
1073671,2016,9,1087309,Division Game,L,79.22,165.68
1073671,2017,1,1089754,Division Game,W,98.84,58.68
1073671,2017,10,1115989,Non-Division Game,W,86.56,75.92
1073671,2017,11,1075098,Division Game,W,107.3,85.96
1073671,2017,12,1087309,Division Game,L,70.04,93.86
1073671,2017,13,1073395,Division Game,W,77.66,76.82
1073671,2017,14,1089754,Playoff Game,L,102.94,116.56
1073671,2017,2,1073361,Division Game,L,104.54,111.48
1073671,2017,3,1073420,Non-Division Game,W,89.92,67.86
1073671,2017,4,1075098,Division Game,W,99.92,83.68
1073671,2017,5,1087309,Division Game,L,81.3,114.82
1073671,2017,6,1073395,Division Game,W,74.64,64.52
1073671,2017,7,1107405,Non-Division Game,W,113.24,65.26
1073671,2017,8,1089754,Division Game,L,83.06,90.88
1073671,2017,9,1073361,Division Game,W,106.32,73.26
1073671,2018,1,1073395,Division Game,L,106.96,108.84
1073671,2018,2,1087309,Division Game,W,118.62,116.34
1073671,2018,3,1073363,Non-Division Game,W,99.44,91
1075098,2014,1,1087309,Division Game,W,102.76,96.76
1075098,2014,10,1115989,Non-Division Game,W,109.7,100.2
1075098,2014,11,1073671,Division Game,W,72.56,58.32
1075098,2014,12,1073395,Division Game,W,117.88,69.66
1075098,2014,13,1073361,Division Game,L,91.66,165.3
1075098,2014,15,1073361,Playoff Game,W,135.72,90.08
1075098,2014,16,1073363,Championship,W,89.34,89.32
1075098,2014,2,1089754,Division Game,W,94.28,89.74
1075098,2014,3,1073420,Non-Division Game,W,100.12,97.44
1075098,2014,4,1073671,Division Game,W,82.08,71.12
1075098,2014,5,1073395,Division Game,L,91.26,102.94
1075098,2014,6,1073361,Division Game,W,88.78,72.6
1075098,2014,7,1073363,Non-Division Game,L,101.12,105.06
1075098,2014,8,1087309,Division Game,W,98.44,93.84
1075098,2014,9,1089754,Division Game,L,85.72,124.22
1075098,2015,1,1087309,Division Game,L,63.9,116.04
1075098,2015,10,1073370,Non-Division Game,W,108.72,100.54
1075098,2015,11,1073671,Division Game,W,64.78,61.86
1075098,2015,12,1073395,Division Game,W,134.96,73.28
1075098,2015,13,1073361,Division Game,L,57.74,129.02
1075098,2015,14,1089754,Playoff Game,W,108.58,99.4
1075098,2015,15,1073361,Playoff Game,L,105.98,115.96
1075098,2015,16,1107405,Playoff Game 3rd place,L,84.62,112.86
1075098,2015,2,1089754,Division Game,W,103.74,81.74
1075098,2015,3,1107405,Non-Division Game,W,92.16,87.8
1075098,2015,4,1073671,Division Game,W,85.82,83.04
1075098,2015,5,1073395,Division Game,W,85.94,68.44
1075098,2015,6,1073361,Division Game,L,63.7,94.08
1075098,2015,7,1073363,Non-Division Game,L,80.28,90.78
1075098,2015,8,1087309,Division Game,W,104.98,74
1075098,2015,9,1089754,Division Game,L,102.08,136.1
1075098,2016,1,1073361,Division Game,L,85.4,100.8
1075098,2016,10,1115989,Non-Division Game,W,117.38,77.26
1075098,2016,11,1073671,Division Game,L,71.44,92.5
1075098,2016,12,1089754,Division Game,W,97.8,89.18
1075098,2016,13,1087309,Division Game,L,81.7,86.06
